Country,Location,Company,Plant_Capacity
Argentina,Puerto Madryn,Aluar (Aluminio Argentino),460000
Australia,"Bell Bay, Tasmania",Rio Tinto Alcan (Bell Bay) Ltd.,180000
Australia,Boyne Island,Boyne Smelters Ltd. (BSL),550000
Australia,Point Henry,Alcoa World Alumina Australia Ltd.,190000
Australia,"Portland, Victoria",Alcoa World Alumina Australia Ltd. - Portland Aluminium,358000
Australia,Tomago,Tomago Aluminium Company Pty. Ltd.,540000
Azerbaijan,Ganja,Ganja Aluminium,50000
Bahrain,Askar,Alba (Aluminium Bahrain),912000
Bosnia and Herzegovina,Mostar,Aluminij d.d. Mostar,130000
Brazil,Vila dos Cabanos,Albras (Alumínio Brasileiro S.A.),460000
Brazil,Poços de Caldas,Alcominas (Alcoa Alumínio S.A.),106000
Brazil,São Luís,Alumar (Consórcio de Alumínio do Maranhão S.A.),460000
Brazil,Santa Cruz,Metalisul (Grupo Metalis),95000
Brazil,Saramenha,Novelis do Brasil S.A.,51000
Brazil,Alumínio,CBA (Companhia Brasileira de Aluminio),475000
Cameroon,Edéa,Alucam (Compagnie Camerounaise de l'Aluminium),100000
Canada,"Alma, Quebec",Rio Tinto Alcan - Usine Alma,443000
Canada,Arvida,Rio Tinto Alcan - Usine Arvida,163000
Canada,Bécancour,A.B.I. (Aluminerie de Bécancour Incorporée),450000
Canada,Baie Comeau,Alcoa Aluminerie de Baie-Comeau,300000
Canada,Deschambault,Alcoa Aluminerie de Deschambault,260000
Canada,Grande Baie,Rio Tinto Alcan - Usine Grande-Baie,220000
Canada,Kitimat,Rio Tinto Alcan - Kitimat,420000
Canada,"Laterrière, Quebec",Rio Tinto Alcan - Usine Laterrière,235000
Canada,"Sept-Îles, Quebec",Aluminerie Alouette Inc.,600000
Canada,Shawinigan Falls,Rio Tinto Alcan - Shawinigan Falls,100000
Egypt,Nag Hammadi,Egyptalum (Aluminium Company of Egypt),320000
France,Dunkerque,Aluminium Dunkerque SA,273000
France,St. Jean de Maurienne,Trimet France,141000
Germany,Essen,Trimet Aluminium AG - Niederlassung Essen,170000
Germany,Hamburg,Trimet Aluminium AG - Primary Products Hamburg,135000
Germany,Neuss,Hydro Aluminium Deutschland GmbH -Neuss (Rheinwerk),230000
Germany,Voerde,Voerdal GmbH,96000
Ghana,Tema,Valco (Volta Aluminium Company),200000
Greece,St. Nicolas,Aluminium de Grèce SA (AdG),166000
Iceland,Reyðarfjörður,Alcoa Fjardaál,346000
Iceland,"Grundartangi, near Akranes",Nordic Aluminum Co (Nordural),312000
Iceland,"Straumsvik, near Hafnarfjörður",Alcan Iceland Co Ltd. (Isal),190000
India,Angul,National Aluminium Co. (Nalco),475000
India,Hirakud,Hindalco Industries Ltd. - Hirakud Smelter,213000
India,Haryana,Century Metal Recycling Private Limited,
India,Haryana,Sumridhi Aluminum Private Limited,20000
India,Jharsuguda,Vedanta Resources,500000
India,Korba,Bharat Aluminium Co. (Balco),900000
India,Renukoot,Hindustan Aluminium Co. (Hindalco Industries Ltd)),345000
India,Lapanga,Aditya Aluminium (Hindalco Industries Ltd)),360000
India,Bargawan,Mahan Aluminium (Hindalco Industries Ltd)),360000
Indonesia,Kuala Tanjung,PT Indonesia Asahan Aluminium (Inalum),265000
Iran,Arak,Iran Aluminium Co (Iralco),90000
Iran,Arak (2),Iran Aluminium Co (Iralco),110000
Iran,Bandar Abbas,Al-Mahdi Aluminium Corp. (AAC),110000
Iran,Bandar Abbas (2),Hormozgan Aluminium (Hormozal),147000
Italy,Portoscuso,Alcoa Italia SpA-Portovesme Works,159000
Japan,"Kanbara, Shizuoka",Nippon Light Metals Co Ltd.,20000
Kazakhstan,Pavlodar,Kazakhstan Aluminium Works (KAZ),250000
Malaysia,Sarawak,Press Metal Sarawak,120000
Malaysia,Sarawak,Press Metal Bintulu,640000
Montenegro,Podgorica,DP Kombinat Aluminijuma Podgorica (KAP),120000
Mozambique,Maputo,Mozal (Mozambique Aluminium Smelter),565000
Netherlands,Delfzijl,Aluminium Delfzijl BV (Aldel),170000
New Zealand,Tiwai Point,New Zealand Aluminium Smelters (NZAS),351000
Nigeria,Ikot Abasi,Alscon (Aluminium Smelter Co of Nigeria),200000
Norway,Årdal,Ardal Primary Production (Haas),233000
Norway,Hoyanger,Hoyanger Primary Production (Haas),60000
Norway,Husnes,Hydro Husnes (Norsk Hydro),185000
Norway,Karmøy,Karmoy Primary Production (Haas),190000
Norway,Lista,Alcoa Norway - Lista Works,127500
Norway,Mosjøen,Alcoa Norway - Mosjoen Works,221500
Norway,Sunndalsøra,Sunndal Primary Production (Haas),400000
Oman,Sohar,Sohar Aluminium Company,390000
China,Aba,Aba Aluminium Works,100000
China,Baise Yinhai,Baise Yinhai Aluminium Co,175000
